PWM (µs),Force (N),Stonefish (Floats)
1100,-144.157755,-1.00
1104,-143.6085826,-1.00
1108,-143.0594102,-1.00
1112,-142.5102378,-0.99
1116,-141.9610654,-0.99
1120,-141.411893,-0.99
1124,-140.8627206,-0.99
1128,-140.3135482,-0.99
1132,-139.7643758,-0.98
1136,-139.2152034,-0.98
1140,-138.666031,-0.98
1144,-138.1168586,-0.98
1148,-137.5676862,-0.98
1152,-136.6654744,-0.97
1156,-135.4102232,-0.97
1160,-134.154972,-0.96
1164,-132.8997208,-0.96
1168,-131.6444696,-0.96
1172,-130.3892184,-0.95
1176,-129.1339672,-0.95
1180,-127.878716,-0.94
1184,-126.6234648,-0.94
1188,-125.3682136,-0.93
1192,-124.1129624,-0.93
1196,-122.8577112,-0.92
1200,-121.60246,-0.92
1204,-120.0726226,-0.91
1208,-118.5427852,-0.91
1212,-117.0129478,-0.90
1216,-115.4831104,-0.90
1220,-113.953273,-0.89
1224,-112.4234356,-0.88
1228,-110.8935982,-0.88
1232,-109.3637608,-0.87
1236,-107.8339234,-0.86
1240,-106.304086,-0.86
1244,-104.7742486,-0.85
1248,-103.2444112,-0.85
1252,-101.6557339,-0.84
1256,-100.0082167,-0.83
1260,-98.3606995,-0.83
1264,-96.7131823,-0.82
1268,-95.0656651,-0.81
1272,-93.4181479,-0.81
1276,-91.7706307,-0.80
1280,-90.1231135,-0.79
1284,-88.4755963,-0.78
1288,-86.8280791,-0.78
1292,-85.1805619,-0.77
1296,-83.5330447,-0.76
1300,-81.8855275,-0.75
1304,-80.1595571,-0.75
1308,-78.4335867,-0.74
1312,-76.7076163,-0.73
1316,-74.9816459,-0.72
1320,-73.2556755,-0.71
1324,-71.5297051,-0.70
1328,-69.8037347,-0.70
1332,-68.0777643,-0.69
1336,-66.3517939,-0.68
1340,-64.6258235,-0.67
1344,-62.8998531,-0.66
1348,-61.1738827,-0.65
1352,-59.4675256,-0.64
1356,-57.7807818,-0.63
1360,-56.094038,-0.62
1364,-54.4072942,-0.61
1368,-52.7205504,-0.60
1372,-51.0338066,-0.59
1376,-49.3470628,-0.59
1380,-47.660319,-0.57
1384,-45.9735752,-0.56
1388,-44.2868314,-0.55
1392,-42.6000876,-0.54
1396,-40.9133438,-0.53
1400,-39.2266,-0.52
1404,-37.5398562,-0.51
1408,-35.8531124,-0.50
1412,-34.1663686,-0.49
1416,-32.4796248,-0.47
1420,-30.792881,-0.46
1424,-29.1061372,-0.45
1428,-27.4193934,-0.44
1432,-25.7326496,-0.42
1436,-24.0459058,-0.41
1440,-22.359162,-0.39
1444,-20.6724182,-0.38
1448,-18.9856744,-0.36
1452,-17.1874445,-0.35
1456,-15.2777284,-0.33
1460,-13.3680124,-0.30
1464,-11.4582963,-0.28
1468,-9.5485803,-0.26
1472,-7.6388642,-0.23
1476,-5.7291482,-0.20
1480,-3.8194321,-0.16
1484,-1.9097161,-0.12
1488,-1.0,-0.08
1492,-0.5,-0.04
1496,-0.5,-0.02
1498,-0.2,0.00
1500, 0.0,0.00
1502, 0.2,0.00
1504,0.5,0.02
1508,0.5,0.04
1512,1.0,0.08
1516,2.2193997,0.10
1520,4.4387995,0.15
1524,6.6581992,0.18
1528,8.8775989,0.21
1532,11.0969987,0.23
1536,13.3163984,0.26
1540,15.5357982,0.28
1544,17.7551979,0.30
1548,19.9745976,0.31
1552,22.3003221,0.33
1556,24.7323713,0.35
1560,27.1644205,0.36
1564,29.5964697,0.38
1568,32.0285189,0.40
